object_ID,ZTF_ID,Type,Classification_time(UTC),Note
DCAP91,ZTF18abznkyr,Cataclysmic variable candidate,2026/5/16 13:41,
DCAP90,ZTF26aawzpcp,SN candidate,2026/5/16 13:40,
DCAP89,ZTF26aawlagq,Cataclysmic variable candidate,2026/5/16 13:39,
DCAP88,ZTF26aawdrhu,Cataclysmic variable candidate,2026/5/16 13:33,
DCAP87,ZTF26aawvsjv,SN candidate,2026/5/16 13:32,
DCAP86,ZTF26aawkdqa,Cataclysmic variable candidate,2026/5/16 13:29,
